work_order, service_code
342614, 'SFS30'
325843, 'SFS30'
356675, 'PFI10'
347778, 'SWM30'
330296, 'PFI10'
343293, 'PFI10'
351697, 'PFI10'
338621, 'PFI10'
337512, 'PFI10'
339259, 'PFI10'
342827, 'PFI10'
346499, 'PFI10'
365526, 'SFS30'
364610, 'PFI10'
334027, 'PFI10'
364176, 'PFI10'
339265, 'PFI10'
360304, 'PFI10'
314485, 'PFI10'
316709, 'SFS30'
314650, 'SFS30'
342416, 'PFI10'
337937, 'SFS30'
328817, 'PFI10'
316721, 'PFI10'
342370, 'PFI10'
330094, 'PFI10'
336368, 'PFI10'
346857, 'PFI10'
360648, 'SFS30'
328630, 'PFI10'
347585, 'PFI10'
352836, 'SFS30'
349580, 'PFI10'
316084, 'SFS30'
364374, 'PFI11'
337738, 'SFS30'
369123, 'PFI10'
337739, 'SFS30'
316085, 'SFS30'
328625, 'PFI10'
352837, 'SFS30'
331406, 'PFI10'
347590, 'PFI10'
350952, 'PFI10'
328631, 'PFI10'
330095, 'PFI10'
354275, 'PFI10'
342417, 'PFI10'
323943, 'SFS30'
337936, 'SFS30'
357754, 'PFI10'
330917, 'PFI10'
324962, 'SFS30'
343721, 'PFI10'
345350, 'SFS30'
339264, 'PFI10'
367330, 'SFS30'
354936, 'PFI10'
339258, 'PFI10'
349967, 'PFI10'
347779, 'SWM30'
346467, 'PFI10'
332480, 'PFI10'
330297, 'PFI10'
318241, 'PFI10'
356884, 'PFI11'
348462, 'PFI10'
344258, 'PFI10'
336745, 'PFI10'
367522, 'SFS30'
330308, 'PFI10'
325063, 'SFS30'
353693, 'PFI10'
346513, 'PFI10'
340162, 'PFI10'
346261, 'PFI10'
354103, 'PFI10'
317006, 'SFS30'
347631, 'PFI10'
357350, 'PFI10'
366833, 'SFS30'
343443, 'PFI10'
336553, 'PFI10'
364215, 'PFI10'
330888, 'PFI10'
337659, 'SFS30'
328779, 'PFI10'
359180, 'SFS30'
345581, 'SFS30'
335700, 'PFI10'
353485, 'PFI10'
350198, 'PFI10'
333403, 'SFS30'
326768, 'PFI10'
337665, 'SFS30'
347369, 'PFI10'
344660, 'PFI10'
323823, 'SFS30'
346711, 'PFI10'
350167, 'PFI10'
346705, 'PFI10'
328792, 'PFI10'
308330, 'PFI10'
358261, 'PFI10'
357152, 'PFI10'
353334, 'PFI10'
343127, 'PFI10'
362841, 'PFI10'
347357, 'PFI10'
328790, 'PFI10'
366399, 'PFI10'
354459, 'PFI10'
343125, 'PFI10'
358263, 'SFS30'
330875, 'PFI10'
363593, 'SFS30'
345232, 'SFS30'
340362, 'PFI10'
332092, 'SFS30'
323821, 'SFS30'
352014, 'PFI10'
346707, 'PFI10'
321944, 'SFS30'
330691, 'SFS30'
359814, 'SFS30'
341083, 'PFI10'
352799, 'PFI10'
337673, 'PFI10'
368377, 'SFS30'
330108, 'PFI10'
337667, 'PFI10'
368363, 'SFS30'
344851, 'PFI10'
333367, 'SFS30'
334408, 'SFS30'
340389, 'SFS30'
330120, 'PFI10'
335058, 'PFI10'
333429, 'SFS30'
334434, 'PFI10'
322256, 'SFS30'
328592, 'PFI10'
366825, 'SFS30'
345024, 'SFS30'
343441, 'PFI10'
366831, 'SFS30'
328586, 'PFI10'
357352, 'PFI10'
358061, 'PFI10'
345756, 'SFS30'
345018, 'PFI10'
334839, 'PFI10'
353108, 'SFS30'
